Date;USDMXN;USDJPY;GBPUSD;EURUSD;USDCHF;USDCAD
2004.07.05;-0,00026;0,00690;0,00077;-0,00090;0,00138;0,00151
2004.07.06;0,00280;0,00366;0,00523;-0,00122;0,00138;0,00143
2004.07.07;0,00209;-0,00817;0,00741;0,00698;-0,00812;-0,00415
2004.07.08;0,00287;0,00304;-0,00189;0,00193;-0,00180;-0,00250
2004.07.09;-0,00287;-0,00617;0,00594;0,00194;-0,00155;-0,00030
2004.07.12;-0,00009;0,00120;0,00009;-0,00088;0,00188;0,00083
2004.07.13;-0,00244;0,00102;-0,00236;-0,00606;0,00870;-0,00068
2004.07.14;-0,00254;0,00671;-0,00085;0,00420;-0,00503;0,00394
2004.07.15;0,00411;0,00557;-0,00163;-0,00234;0,00576;0,00030
2004.07.16;-0,00683;-0,00943;0,01064;0,00805;-0,00959;-0,00934
2004.07.19;-0,00290;-0,00424;-0,00251;-0,00128;0,00375;-0,00283
2004.07.20;0,00378;0,00203;-0,00828;-0,00856;0,01149;0,00359
2004.07.21;0,00455;0,01264;-0,00700;-0,00577;0,00489;0,00812
2004.07.22;-0,00359;-0,00100;0,00278;-0,00058;-0,00112;-0,00432
2004.07.23;0,00149;0,00355;-0,00647;-0,01314;0,01416;0,00477
2004.07.26;0,00349;-0,00255;0,00452;0,00355;-0,00071;0,00610
2004.07.27;-0,00052;0,00915;-0,01000;-0,00620;0,00780;0,00098
2004.07.28;-0,00499;0,00782;-0,00005;-0,00166;0,00110;-0,00255
2004.07.29;-0,00079;0,00322;-0,00262;-0,00049;0,00368;-0,00301
2004.07.30;0,00656;-0,00671;0,00218;-0,00183;0,00023;0,00467
2004.08.02;-0,00753;-0,00459;0,00120;0,00049;-0,00109;-0,00015
2004.08.03;0,00079;-0,00181;0,00033;0,00258;-0,00063;-0,01050
2004.08.04;0,00298;0,00316;0,00033;0,00058;-0,00329;-0,00129
2004.08.05;-0,00096;0,00673;-0,00082;-0,00066;0,00039;0,00190
2004.08.06;-0,00333;-0,01116;0,00879;0,02102;-0,01972;-0,00023
2004.08.09;0,00035;0,00127;0,00044;-0,00285;0,00272;-0,00053
2004.08.10;0,00307;0,00514;-0,00710;-0,00301;0,00620;0,00190
2004.08.11;-0,00061;-0,00414;0,00148;-0,00115;-0,00032;0,00386
2004.08.12;-0,00053;0,00108;-0,00411;0,00139;-0,00334;0,00512
2004.08.13;-0,00387;-0,00162;0,01070;0,01113;-0,01507;-0,01065
2004.08.16;-0,00079;-0,00280;-0,00072;-0,00137;0,00186;-0,00831
2004.08.17;-0,00353;-0,00399;-0,00752;-0,00112;0,00330;0,00008
2004.08.18;0,00230;-0,00474;-0,00214;-0,00041;-0,00056;-0,00153
2004.08.19;-0,00079;-0,00064;0,00488;0,00258;-0,00137;-0,00623
2004.08.20;-0,00221;-0,00229;-0,00734;-0,00405;0,00538;0,00116
2004.08.23;0,00741;0,00576;-0,00541;-0,01389;0,01526;0,00699
2004.08.24;-0,00255;-0,00046;-0,00949;-0,00578;0,00252;-0,00122
2004.08.25;-0,00035;0,00373;0,00228;0,00034;0,00126;-0,00084
2004.08.26;-0,00159;-0,00437;-0,00039;0,00108;-0,00039;0,00214
2004.08.27;0,00396;0,00036;-0,00301;-0,00656;0,00463;0,00488
2004.08.30;0,00097;0,00237;0,00274;0,00242;0,00102;0,00281
2004.08.31;-0,00220;-0,00685;0,00405;0,01065;-0,01021;-0,00373
2004.09.01;0,00413;0,00174;-0,00505;0,00099;-0,00514;-0,00458
2004.09.02;0,00742;0,00128;-0,00100;-0,00140;0,00087;-0,00476
2004.09.03;0,00009;0,00828;-0,00874;-0,00974;0,00798;0,00008
2004.09.06;0,00078;-0,00236;0,00247;0,00090;-0,00063;-0,00192
2004.09.07;0,00615;-0,00711;-0,00304;0,00274;-0,00221;-0,00781
2004.09.08;-0,00164;-0,00146;0,00696;0,00741;-0,00665;0,00240
2004.09.09;-0,00009;0,00165;0,00134;0,00434;-0,00135;-0,00287
2004.09.10;0,00069;0,00174;0,00574;0,00252;-0,00032;0,00287
2004.09.13;-0,00225;0,00428;-0,00157;-0,00072;0,00095;0,00802
2004.09.14;-0,00026;-0,00465;0,00027;-0,00033;-0,00079;-0,00617
2004.09.15;-0,00313;0,00437;-0,01185;-0,00844;0,00942;0,00239
2004.09.16;-0,00209;-0,00373;0,00957;0,00271;-0,00118;-0,00487
2004.09.17;-0,00367;0,00082;-0,00106;-0,00066;-0,00024;0,00526
